origin,dest,count
271370002004,271370105001,1
271370002004,271370105002,59
271370003011,271370003011,5264
271370003011,271370003012,470
271370003011,271370003013,423
271370003011,271370003021,485
271370003011,271370003022,1828
271370003011,271370004002,39
271370003011,271370004003,42
271370003011,271370004004,2
271370003011,271370009001,7
271370003011,271370009002,36
271370003011,271370009003,65
271370003011,271370009004,29
271370003011,271370010001,2
271370003011,271370012001,23
271370003011,271370012002,29
271370003011,271370013001,13
271370003011,271370013002,14
271370003011,271370014001,1
271370003011,271370016001,54
271370003011,271370016002,31
271370003011,271370017001,16
271370003011,271370017002,30
271370003011,271370018001,26
271370003011,271370018002,19
271370003011,271370018003,23
271370003011,271370019001,66
271370003011,271370019002,16
271370003011,271370019003,37
271370003011,271370020001,12
271370003011,271370020002,5
271370003011,271370023001,371
271370003011,271370023002,80
271370003011,271370023003,112
271370003011,271370023004,264
271370003011,271370024001,13
271370003011,271370026001,3
271370003011,271370026002,3
271370003011,271370103012,46
271370003011,271370103013,749
271370003011,271370103022,5
271370003011,271370103023,221
271370003011,271370156003,2
271370003012,271370003011,515
271370003012,271370003012,720
271370003012,271370003013,218
271370003012,271370003021,125
271370003012,271370003022,120
271370003012,271370004002,58
271370003012,271370004003,295
271370003012,271370004004,90
271370003012,271370005003,1
271370003012,271370009001,40
271370003012,271370009002,71
271370003012,271370009003,91
271370003012,271370009004,40
271370003012,271370010001,25
271370003012,271370011001,1
271370003012,271370012001,30
271370003012,271370012002,67
271370003012,271370013001,32
271370003012,271370013002,25
271370003012,271370014001,8
271370003012,271370014002,10
271370003012,271370014003,10
271370003012,271370016001,110
271370003012,271370016002,8
271370003012,271370017001,83
271370003012,271370017002,80
271370003012,271370018001,28
271370003012,271370018002,36
271370003012,271370018003,51
271370003012,271370019001,245
271370003012,271370019002,40
271370003012,271370019003,115
271370003012,271370020001,12
271370003012,271370020002,13
271370003012,271370023001,64
271370003012,271370023002,3
271370003012,271370023003,3
271370003012,271370023004,10
271370003012,271370024001,5
271370003012,271370026002,1
271370003012,271370103013,10
271370003012,271370103023,3
271370003012,271370156001,5
271370003012,271370156002,2
271370003012,271370156003,6
271370003012,271370157001,9
271370003012,271370157002,12
271370003012,271370157003,68
271370003013,271370003011,392
271370003013,271370003012,190
271370003013,271370003013,284
271370003013,271370003021,73
271370003013,271370003022,87
271370003013,271370004002,59
271370003013,271370004003,96
271370003013,271370004004,5
271370003013,271370009001,17
271370003013,271370009002,19
271370003013,271370009003,37
271370003013,271370009004,19
271370003013,271370010001,16
271370003013,271370012001,31
271370003013,271370012002,37
271370003013,271370013001,33
271370003013,271370013002,23
271370003013,271370014001,1
271370003013,271370014002,3
271370003013,271370014003,3
271370003013,271370016001,65
271370003013,271370016002,8
271370003013,271370017001,41
271370003013,271370017002,43
271370003013,271370018001,13
271370003013,271370018002,16
271370003013,271370018003,11
271370003013,271370019001,138
271370003013,271370019002,29
271370003013,271370019003,43
271370003013,271370020001,47
271370003013,271370020002,23
271370003013,271370023001,44
271370003013,271370023002,9
271370003013,271370023003,4
271370003013,271370023004,54
271370003013,271370024001,16
271370003013,271370026001,2
271370003013,271370026002,6
271370003013,271370103013,18
271370003013,271370103023,1
271370003013,271370156001,35
271370003013,271370156002,7
271370003013,271370156003,24
271370003013,271370157002,8
271370003013,271370157003,3
271370003021,271370003011,574
271370003021,271370003012,122
271370003021,271370003013,64
271370003021,271370003021,1697
271370003021,271370003022,479
271370003021,271370004001,4
271370003021,271370004002,114
271370003021,271370004003,218
271370003021,271370004004,60
271370003021,271370009001,5
271370003021,271370009002,12
271370003021,271370009003,15
271370003021,271370009004,4
271370003021,271370010001,2
271370003021,271370012001,2
271370003021,271370012002,3
271370003021,271370016001,12
271370003021,271370016002,4
271370003021,271370017001,2
271370003021,271370017002,2
271370003021,271370018002,2
271370003021,271370018003,3
271370003021,271370019001,12
271370003021,271370019002,3
271370003021,271370019003,10
271370003021,271370020001,1
271370003021,271370023001,8
271370003021,271370023003,2
271370003021,271370023004,4
271370003021,271370103011,43
271370003021,271370103012,529
271370003021,271370103013,408
271370003021,271370103021,11
271370003021,271370103022,9
271370003021,271370103023,46
271370003021,271370104001,1
271370003021,271370104002,24
271370003021,271370106023,6
271370003021,271370157003,11
